timestamp,source_ip,dest_ip,protocol,packet_size,label
2026-01-25 15:43:29,192.168.1.164,10.0.0.17,UDP,548,Normal
2026-01-25 15:43:29,192.168.1.169,10.0.0.16,TCP,636,Normal
2026-01-25 15:43:29,192.168.1.110,10.0.0.6,TCP,1375,Normal
2026-01-25 15:43:29,192.168.1.55,10.0.0.18,TCP,1209,Normal
2026-01-25 15:43:29,192.168.1.72,10.0.0.17,UDP,56,Port Scan
2026-01-25 15:43:29,192.168.1.17,10.0.0.2,ICMP,1085,Normal
2026-01-25 15:43:29,192.168.1.107,10.0.0.1,UDP,619,Normal
2026-01-25 15:43:29,192.168.1.169,10.0.0.17,ICMP,806,Normal
2026-01-25 15:43:29,192.168.1.100,10.0.0.19,TCP,214,Normal
2026-01-25 15:43:29,192.168.1.252,10.0.0.4,UDP,1161,Normal
2026-01-25 15:43:29,192.168.1.132,10.0.0.17,TCP,285,Normal
2026-01-25 15:43:29,192.168.1.207,10.0.0.18,ICMP,303,Brute Force
2026-01-25 15:43:29,192.168.1.180,10.0.0.2,UDP,96,DDoS
2026-01-25 15:43:29,192.168.1.164,10.0.0.5,ICMP,56,Normal
2026-01-25 15:43:29,192.168.1.214,10.0.0.5,TCP,1128,Normal
2026-01-25 15:43:29,192.168.1.222,10.0.0.18,TCP,1132,Normal
2026-01-25 15:43:29,192.168.1.78,10.0.0.3,TCP,91,DDoS
2026-01-25 15:43:29,192.168.1.31,10.0.0.18,TCP,756,Normal
2026-01-25 15:43:29,192.168.1.155,10.0.0.14,UDP,1345,Normal
2026-01-25 15:43:29,192.168.1.180,10.0.0.12,TCP,59,DDoS
2026-01-25 15:43:29,192.168.1.6,10.0.0.18,TCP,939,Normal
2026-01-25 15:43:29,192.168.1.154,10.0.0.18,UDP,879,Normal
2026-01-25 15:43:29,192.168.1.217,10.0.0.1,ICMP,738,Normal
2026-01-25 15:43:29,192.168.1.169,10.0.0.11,TCP,332,Normal
2026-01-25 15:43:29,192.168.1.47,10.0.0.7,ICMP,1204,Normal
2026-01-25 15:43:29,192.168.1.198,10.0.0.5,ICMP,845,Normal
2026-01-25 15:43:29,192.168.1.109,10.0.0.19,TCP,1469,Normal
2026-01-25 15:43:29,192.168.1.121,10.0.0.18,UDP,1282,Normal
2026-01-25 15:43:29,192.168.1.115,10.0.0.2,TCP,75,Normal
2026-01-25 15:43:29,192.168.1.71,10.0.0.10,TCP,175,Normal
2026-01-25 15:43:29,192.168.1.77,10.0.0.2,TCP,240,Normal
2026-01-25 15:43:29,192.168.1.70,10.0.0.15,ICMP,423,Normal
2026-01-25 15:43:29,192.168.1.225,10.0.0.19,TCP,1348,Normal
2026-01-25 15:43:29,192.168.1.76,10.0.0.17,ICMP,327,Brute Force
2026-01-25 15:43:29,192.168.1.113,10.0.0.14,TCP,51,Port Scan
2026-01-25 15:43:29,192.168.1.83,10.0.0.16,UDP,100,Normal
2026-01-25 15:43:29,192.168.1.64,10.0.0.1,ICMP,132,Normal
2026-01-25 15:43:29,192.168.1.124,10.0.0.17,UDP,1279,Normal
2026-01-25 15:43:29,192.168.1.229,10.0.0.4,TCP,1302,Normal
2026-01-25 15:43:29,192.168.1.198,10.0.0.4,ICMP,932,Normal
2026-01-25 15:43:29,192.168.1.212,10.0.0.9,ICMP,130,Normal
2026-01-25 15:43:29,192.168.1.128,10.0.0.18,ICMP,1461,Normal
2026-01-25 15:43:29,192.168.1.218,10.0.0.1,ICMP,723,Normal
2026-01-25 15:43:29,192.168.1.132,10.0.0.18,ICMP,613,Normal
2026-01-25 15:43:29,192.168.1.198,10.0.0.17,TCP,242,Normal
2026-01-25 15:43:29,192.168.1.116,10.0.0.14,ICMP,590,Normal
2026-01-25 15:43:29,192.168.1.5,10.0.0.2,UDP,688,Normal
2026-01-25 15:43:29,192.168.1.19,10.0.0.19,UDP,138,Normal
2026-01-25 15:43:29,192.168.1.59,10.0.0.16,TCP,1013,Normal
2026-01-25 15:43:29,192.168.1.253,10.0.0.11,UDP,229,Normal
2026-01-25 15:43:29,192.168.1.188,10.0.0.14,TCP,256,Normal
2026-01-25 15:43:29,192.168.1.146,10.0.0.1,TCP,163,Normal
2026-01-25 15:43:29,192.168.1.20,10.0.0.9,ICMP,398,Normal
2026-01-25 15:43:29,192.168.1.233,10.0.0.15,ICMP,725,Normal
2026-01-25 15:43:29,192.168.1.180,10.0.0.7,ICMP,1338,Normal
2026-01-25 15:43:29,192.168.1.114,10.0.0.2,TCP,232,Normal
2026-01-25 15:43:29,192.168.1.245,10.0.0.1,TCP,1291,Normal
2026-01-25 15:43:29,192.168.1.249,10.0.0.3,ICMP,1271,Normal
2026-01-25 15:43:29,192.168.1.57,10.0.0.9,TCP,1317,Normal
2026-01-25 15:43:29,192.168.1.75,10.0.0.16,TCP,1293,Normal
2026-01-25 15:43:29,192.168.1.17,10.0.0.16,ICMP,786,Normal
2026-01-25 15:43:29,192.168.1.12,10.0.0.5,ICMP,831,Normal
2026-01-25 15:43:29,192.168.1.71,10.0.0.6,UDP,59,Port Scan
2026-01-25 15:43:29,192.168.1.250,10.0.0.7,TCP,774,Normal
2026-01-25 15:43:29,192.168.1.106,10.0.0.13,TCP,209,Brute Force
2026-01-25 15:43:29,192.168.1.81,10.0.0.17,ICMP,1136,Normal
2026-01-25 15:43:29,192.168.1.218,10.0.0.14,UDP,848,Normal
2026-01-25 15:43:29,192.168.1.84,10.0.0.5,UDP,827,Normal
2026-01-25 15:43:29,192.168.1.166,10.0.0.19,UDP,122,Normal
2026-01-25 15:43:29,192.168.1.78,10.0.0.13,ICMP,1308,Normal
2026-01-25 15:43:29,192.168.1.78,10.0.0.19,ICMP,1087,Normal
2026-01-25 15:43:29,192.168.1.171,10.0.0.13,ICMP,1388,Normal
2026-01-25 15:43:29,192.168.1.54,10.0.0.5,ICMP,1297,Normal
2026-01-25 15:43:29,192.168.1.169,10.0.0.12,UDP,971,Normal
2026-01-25 15:43:29,192.168.1.27,10.0.0.7,TCP,1393,Normal
2026-01-25 15:43:29,192.168.1.70,10.0.0.8,TCP,1169,Normal
2026-01-25 15:43:29,192.168.1.16,10.0.0.2,TCP,1087,Normal
2026-01-25 15:43:29,192.168.1.195,10.0.0.10,ICMP,1043,Normal
2026-01-25 15:43:29,192.168.1.136,10.0.0.14,ICMP,62,Normal
2026-01-25 15:43:29,192.168.1.169,10.0.0.2,UDP,155,Normal
2026-01-25 15:43:29,192.168.1.197,10.0.0.9,TCP,243,Normal
2026-01-25 15:43:29,192.168.1.253,10.0.0.1,TCP,424,Normal
2026-01-25 15:43:29,192.168.1.44,10.0.0.16,ICMP,442,Normal
2026-01-25 15:43:29,192.168.1.236,10.0.0.4,TCP,1202,Normal
2026-01-25 15:43:29,192.168.1.170,10.0.0.7,ICMP,178,Normal
2026-01-25 15:43:29,192.168.1.97,10.0.0.11,UDP,1080,Normal
2026-01-25 15:43:29,192.168.1.251,10.0.0.6,UDP,506,Normal
2026-01-25 15:43:29,192.168.1.245,10.0.0.14,TCP,942,Normal
2026-01-25 15:43:29,192.168.1.149,10.0.0.4,UDP,100,Normal
2026-01-25 15:43:29,192.168.1.121,10.0.0.5,TCP,870,Normal
2026-01-25 15:43:29,192.168.1.242,10.0.0.8,UDP,52,DDoS
2026-01-25 15:43:29,192.168.1.39,10.0.0.9,TCP,900,Normal
2026-01-25 15:43:29,192.168.1.127,10.0.0.9,TCP,1027,Normal
2026-01-25 15:43:29,192.168.1.112,10.0.0.5,TCP,1214,Normal
2026-01-25 15:43:29,192.168.1.102,10.0.0.9,ICMP,1222,Normal
2026-01-25 15:43:29,192.168.1.97,10.0.0.14,ICMP,91,Normal
2026-01-25 15:43:29,192.168.1.96,10.0.0.3,ICMP,113,Normal
2026-01-25 15:43:29,192.168.1.139,10.0.0.19,TCP,136,Normal
2026-01-25 15:43:29,192.168.1.43,10.0.0.3,ICMP,53,Port Scan
2026-01-25 15:43:29,192.168.1.103,10.0.0.3,TCP,1043,Normal
2026-01-25 15:43:29,192.168.1.120,10.0.0.11,ICMP,591,Normal
2026-01-25 15:43:29,192.168.1.148,10.0.0.18,ICMP,1229,Normal
2026-01-25 15:43:29,192.168.1.89,10.0.0.9,ICMP,318,Normal
2026-01-25 15:43:29,192.168.1.241,10.0.0.16,TCP,257,Normal
2026-01-25 15:43:29,192.168.1.5,10.0.0.5,TCP,91,DDoS
2026-01-25 15:43:29,192.168.1.58,10.0.0.11,UDP,311,Normal
2026-01-25 15:43:29,192.168.1.56,10.0.0.18,UDP,266,Normal
2026-01-25 15:43:29,192.168.1.142,10.0.0.17,UDP,558,Normal
2026-01-25 15:43:29,192.168.1.161,10.0.0.9,ICMP,821,Normal
2026-01-25 15:43:29,192.168.1.125,10.0.0.14,UDP,50,Normal
2026-01-25 15:43:29,192.168.1.195,10.0.0.8,TCP,826,Normal
2026-01-25 15:43:29,192.168.1.147,10.0.0.19,ICMP,871,Normal
2026-01-25 15:43:29,192.168.1.40,10.0.0.7,ICMP,503,Normal
2026-01-25 15:43:29,192.168.1.178,10.0.0.5,UDP,658,Normal
2026-01-25 15:43:29,192.168.1.150,10.0.0.12,TCP,964,Normal
2026-01-25 15:43:29,192.168.1.209,10.0.0.9,ICMP,648,Normal
2026-01-25 15:43:29,192.168.1.84,10.0.0.5,ICMP,149,Normal
2026-01-25 15:43:29,192.168.1.178,10.0.0.5,TCP,716,Normal
2026-01-25 15:43:29,192.168.1.180,10.0.0.9,ICMP,1101,Normal
2026-01-25 15:43:29,192.168.1.92,10.0.0.16,TCP,1268,Normal
2026-01-25 15:43:29,192.168.1.176,10.0.0.17,ICMP,733,Normal
2026-01-25 15:43:29,192.168.1.173,10.0.0.7,ICMP,1268,Normal
2026-01-25 15:43:29,192.168.1.106,10.0.0.7,TCP,941,Normal
2026-01-25 15:43:29,192.168.1.178,10.0.0.19,ICMP,281,Brute Force
2026-01-25 15:43:29,192.168.1.193,10.0.0.11,TCP,1345,Normal
2026-01-25 15:43:29,192.168.1.142,10.0.0.9,TCP,336,Normal
2026-01-25 15:43:29,192.168.1.104,10.0.0.16,TCP,97,Normal
2026-01-25 15:43:29,192.168.1.251,10.0.0.3,TCP,442,Normal
2026-01-25 15:43:29,192.168.1.117,10.0.0.9,TCP,1395,Normal
2026-01-25 15:43:29,192.168.1.160,10.0.0.7,TCP,234,Normal
2026-01-25 15:43:29,192.168.1.94,10.0.0.15,ICMP,278,Normal
2026-01-25 15:43:29,192.168.1.159,10.0.0.10,TCP,1042,Normal
2026-01-25 15:43:29,192.168.1.241,10.0.0.5,UDP,501,Normal
2026-01-25 15:43:29,192.168.1.209,10.0.0.2,ICMP,1252,Normal
2026-01-25 15:43:29,192.168.1.248,10.0.0.17,UDP,652,Normal
2026-01-25 15:43:29,192.168.1.60,10.0.0.14,ICMP,277,Brute Force
2026-01-25 15:43:29,192.168.1.83,10.0.0.18,ICMP,1350,Normal
2026-01-25 15:43:29,192.168.1.52,10.0.0.11,UDP,151,Normal
2026-01-25 15:43:29,192.168.1.71,10.0.0.9,TCP,56,Port Scan
2026-01-25 15:43:29,192.168.1.169,10.0.0.11,ICMP,184,Brute Force
2026-01-25 15:43:29,192.168.1.113,10.0.0.2,ICMP,1315,Normal
2026-01-25 15:43:29,192.168.1.17,10.0.0.14,TCP,1405,Normal
2026-01-25 15:43:29,192.168.1.191,10.0.0.5,UDP,65,DDoS
2026-01-25 15:43:29,192.168.1.11,10.0.0.13,UDP,202,Normal
2026-01-25 15:43:29,192.168.1.249,10.0.0.6,TCP,43,Port Scan
2026-01-25 15:43:29,192.168.1.162,10.0.0.18,UDP,1423,Normal
2026-01-25 15:43:29,192.168.1.3,10.0.0.12,ICMP,1081,Normal
2026-01-25 15:43:29,192.168.1.169,10.0.0.16,UDP,48,Port Scan
2026-01-25 15:43:29,192.168.1.44,10.0.0.10,UDP,1253,Normal
2026-01-25 15:43:29,192.168.1.165,10.0.0.15,TCP,844,Normal
2026-01-25 15:43:29,192.168.1.19,10.0.0.8,ICMP,1244,Normal
2026-01-25 15:43:29,192.168.1.252,10.0.0.17,ICMP,162,Normal
2026-01-25 15:43:29,192.168.1.230,10.0.0.16,TCP,406,Normal
2026-01-25 15:43:29,192.168.1.78,10.0.0.1,UDP,606,Normal
2026-01-25 15:43:29,192.168.1.226,10.0.0.13,TCP,275,Brute Force
2026-01-25 15:43:29,192.168.1.1,10.0.0.5,UDP,88,Normal
2026-01-25 15:43:29,192.168.1.137,10.0.0.9,TCP,978,Normal
2026-01-25 15:43:29,192.168.1.44,10.0.0.17,ICMP,57,Port Scan
2026-01-25 15:43:29,192.168.1.169,10.0.0.2,ICMP,479,Brute Force
2026-01-25 15:43:29,192.168.1.214,10.0.0.8,TCP,343,Normal
2026-01-25 15:43:29,192.168.1.254,10.0.0.2,ICMP,81,DDoS
2026-01-25 15:43:29,192.168.1.77,10.0.0.18,ICMP,875,Normal
2026-01-25 15:43:29,192.168.1.165,10.0.0.2,TCP,219,Normal
2026-01-25 15:43:29,192.168.1.68,10.0.0.19,ICMP,55,DDoS
2026-01-25 15:43:29,192.168.1.87,10.0.0.16,UDP,1099,Normal
2026-01-25 15:43:29,192.168.1.132,10.0.0.14,TCP,1295,Normal
2026-01-25 15:43:29,192.168.1.125,10.0.0.11,TCP,860,Normal
